Study ID,Site ID,Location,Latitude,Longitude,Habitat,Taxa,Taxonimic Level,Taxon Richness,SE (if mean),SD (if mean),Taxon Rarefied Richness,Abundance,Sampled Area,Sampled Area Units,Number of samples,Habitat Area,Habitat Area Units,Habitat Age,NOTES,SR~AREA SLOPE,SR~AREA SE,Equation for slope_Area,SR~TIME SLOPE,SR~TIME SE,Equation for slope_Time
2015_Noble 1,BEES Urban Nature Reserve Pond 1,Bradford,53.784944,-1.768954,ponds,MacroInvertebrates,Family,9,,,,,3,Minutes (sweep netting),,34.49,m2,,SuppMatT1,,,,,,
2015_Noble 1,BEES Urban Nature Reserve Pond 2,Bradford,53.784923,-1.769142,ponds,MacroInvertebrates,Family,11,,,,,3,Minutes (sweep netting),,35.3,m2,,SuppMatT2,,,,,,
2015_Noble 1,Boar's Well Urban Nature Reserve,Bradford,53.805508,-1.751739,ponds,MacroInvertebrates,Family,11,,,,,3,Minutes (sweep netting),,74.1,m2,,SuppMatT3,,,,,,
2015_Noble 1,Reevy Mill Dam,Bradford,53.764943,-1.79077,ponds,MacroInvertebrates,Family,13,,,,,3,Minutes (sweep netting),,140.7,m2,,SuppMatT4,,,,,,
2015_Noble 1,Brackenhill Urban Landscape Area,Bradford,53.781414,-1.791817,ponds,MacroInvertebrates,Family,7,,,,,3,Minutes (sweep netting),,100.3,m2,,SuppMatT5,,,,,,
2015_Noble 1,Lister Park,Bradford,53.814028,-1.772767,ponds,MacroInvertebrates,Family,7,,,,,3,Minutes (sweep netting),,756,m2,,SuppMatT6,,,,,,
2015_Noble 1,Toad Holes Beck Pond 1,Bradford,53.753311,-1.744836,ponds,MacroInvertebrates,Family,9,,,,,3,Minutes (sweep netting),,330,m2,,SuppMatT7,,,,,,
2015_Noble 1,Toad Holes Beck Pond 2,Bradford,53.751833,-1.745627,ponds,MacroInvertebrates,Family,9,,,,,3,Minutes (sweep netting),,238,m2,,SuppMatT8,,,,,,
2015_Noble 1,Peel Park,Bradford,53.809567,-1.744358,ponds,MacroInvertebrates,Family,9,,,,,3,Minutes (sweep netting),,248,m2,,SuppMatT9,,,,,,
2015_Noble 1,Raw Nook,Bradford,53.753964,-1.748167,ponds,MacroInvertebrates,Family,8,,,,,3,Minutes (sweep netting),,123,m2,,SuppMatT10,,,,,,
2015_Noble 1,Harold Park Jug Dam,Bradford,53.757936,-1.774022,ponds,MacroInvertebrates,Family,8,,,,,3,Minutes (sweep netting),,225,m2,,SuppMatT11,,,,,,
2015_Noble 1,Wibsey Park,Bradford,53.766372,-1.785486,ponds,MacroInvertebrates,Family,5,,,,,3,Minutes (sweep netting),,425,m2,,SuppMatT12,,,,,,
2015_Noble 1,Pitty Beck,Bradford,53.794222,-1.820231,ponds,MacroInvertebrates,Family,8,,,,,3,Minutes (sweep netting),,39.1,m2,,SuppMatT13,,,,,,
2015_Noble 1,Pitty Beck Pond 2,Bradford,53.794196,-1.820504,ponds,MacroInvertebrates,Family,4,,,,,3,Minutes (sweep netting),,19.2,m2,,SuppMatT14,,,,,,
2015_Noble 1,Chellow Dene Beck Pond 1,Bradford,53.799736,-1.798964,ponds,MacroInvertebrates,Family,5,,,,,3,Minutes (sweep netting),,23,m2,,SuppMatT15,,,,,,
2015_Noble 1,Chellow Dene Beck Pond 2,Bradford,53.799621,-1.798812,ponds,MacroInvertebrates,Family,7,,,,,3,Minutes (sweep netting),,34,m2,,SuppMatT16,,,,,,
2015_Noble 1,Bradford Moor Park,Bradford,53.801922,-1.721281,ponds,MacroInvertebrates,Family,7,,,,,3,Minutes (sweep netting),,275,m2,,SuppMatT17,,,,,,
2015_Noble 1,St Ives Estate,Bradford,53.846208,-1.866143,ponds,MacroInvertebrates,Family,4,,,,,3,Minutes (sweep netting),,651,m2,,SuppMatT18,,,,,,
2015_Noble 1,Holden Park,Bradford,53.849379,-1.947923,ponds,MacroInvertebrates,Family,7,,,,,3,Minutes (sweep netting),,88.8,m2,,SuppMatT19,,,,,,
2015_Noble 1,Holden park (Farmers pond),Bradford,53.850894,-1.94791,ponds,MacroInvertebrates,Family,7,,,,,3,Minutes (sweep netting),,293.4,m2,,SuppMatT20,,,,,,
2015_Noble 1,Tong Park,Bradford,53.858089,-1.751168,ponds,MacroInvertebrates,Family,10,,,,,3,Minutes (sweep netting),,476,m2,,SuppMatT21,,,,,,
2015_Noble 2,BEES Urban Nature Reserve Pond 1,Bradford,53.784944,-1.768954,ponds,Aquatic Plants,Species,6,,,,,3,Minutes (sweep netting),,34.49,m2,,SuppMatT22,,,,,,
2015_Noble 2,BEES Urban Nature Reserve Pond 2,Bradford,53.784923,-1.769142,ponds,Aquatic Plants,Species,4,,,,,3,Minutes (sweep netting),,35.3,m2,,SuppMatT23,,,,,,
2015_Noble 2,Boar's Well Urban Nature Reserve,Bradford,53.805508,-1.751739,ponds,Aquatic Plants,Species,2,,,,,3,Minutes (sweep netting),,74.1,m2,,SuppMatT24,,,,,,
2015_Noble 2,Reevy Mill Dam,Bradford,53.764943,-1.79077,ponds,Aquatic Plants,Species,4,,,,,3,Minutes (sweep netting),,140.7,m2,,SuppMatT25,,,,,,
2015_Noble 2,Brackenhill Urban Landscape Area,Bradford,53.781414,-1.791817,ponds,Aquatic Plants,Species,2,,,,,3,Minutes (sweep netting),,100.3,m2,,SuppMatT26,,,,,,
